timestamp	architecture	data_dir	dataset	hostname	modality	model_path	o	settings	split	virtual_env	w	npy_file
1594796573.9589634	inception_v3	/home/Datasets/UCF-101-OF_CPU/	ucf101	prim	flow	../log_es/1594444234.5895376/checkpoints/model_best_flow_split_2.pth.tar	NPYS_es/	../datasets/settings_earlystop/	2	/home/helena.maia/Documentos/VR_CNN/ve_pytorch	True	../test/NPYS_fusion/1594796573.9589634/ucf101_flow_inception_v3_s2.npy
1594412255.4637458	inception_v3	/home/Datasets/UCF-101-OF_CPU/	ucf101	prim	flow	../log_es/1594348203.202285/checkpoints/model_best_flow_split_1.pth.tar	NPYS_es/	../datasets/settings_earlystop/	1	/home/helena.maia/Documentos/VR_CNN/ve_pytorch	True	../test/NPYS_fusion/1594412255.4637458/ucf101_flow_inception_v3_s1.npy
1597028351.620526	inception_v3	/home/Datasets/UCF-101-OF_CPU/	ucf101	voronoi	flow	../log_retrain/1596805066.4108052/checkpoints/087_checkpoint_flow_split_3.pth.tar	NPYS_fusion/	../datasets/settings	3	/home/helena.maia/Documentos/VR_CNN/ve_pytorch	True	none
1597028394.9629407	inception_v3	/home/Datasets/UCF-101-OF_CPU/	ucf101	voronoi	flow	../log_retrain/1596805066.4108052/checkpoints/087_checkpoint_flow_split_3.pth.tar	NPYS_fusion/	../datasets/settings_earlystop/	3	/home/helena.maia/Documentos/VR_CNN/ve_pytorch	True	../test/NPYS_fusion/1597028394.9629407/ucf101_flow_inception_v3_s3.npy
1597053740.8166912	inception_v3	/home/Datasets/UCF-101-OF_CPU/	ucf101	bezier	rgb	../log_retrain/1596782998.478806/checkpoints/008_checkpoint_rgb2_split_2.pth.tar	NPYS_fusion/	../datasets/settings_earlystop	2	/home/helena.maia/Documentos/VR_CNN/ve_pytorch	True	../test/NPYS_fusion/1597053740.8166912/ucf101_rgb_inception_v3_s2.npy
1594357342.4883204	inception_v3	/home/Datasets/hmdb_of_frames/	hmdb51	bezier	rgb	../log_es/1594347814.5868268/checkpoints/model_best_rgb2_split_1.pth.tar	NPYS_es/	../datasets/settings_earlystop/	1	/home/helena.maia/Documentos/VR_CNN/ve_pytorch	True	../test/NPYS_fusion/1594357342.4883204/hmdb51_rgb_inception_v3_s1.npy
1597027833.556357	inception_v3	/home/Datasets/UCF-101-OF_CPU/	ucf101	bezier	rgb	../log_retrain/1596780307.074578/checkpoints/010_checkpoint_rgb2_split_1.pth.tar	NPYS_fusion/	../datasets/settings_earlystop	1	/home/helena.maia/Documentos/VR_CNN/ve_pytorch	True	../test/NPYS_fusion/1597027833.556357/ucf101_rgb_inception_v3_s1.npy
1594528014.4922092	inception_v3	/home/Datasets/hmdb_of_frames/	hmdb51	prim	rgb	../log_es/1594442200.443803/checkpoints/model_best_rgb2_split_2.pth.tar	NPYS_es/	../datasets/settings_earlystop/	2	/home/helena.maia/Documentos/VR_CNN/ve_pytorch	True	../test/NPYS_fusion/1594528014.4922092/hmdb51_rgb_inception_v3_s2.npy
1594384370.8727965	inception_v3	/home/Datasets/hmdb_of_frames/	hmdb51	prim	flow	../log_es/1594348423.808583/checkpoints/model_best_flow_split_1.pth.tar	NPYS_es/	../datasets/settings_earlystop/	1	/home/helena.maia/Documentos/VR_CNN/ve_pytorch	True	../test/NPYS_fusion/1594384370.8727965/hmdb51_flow_inception_v3_s1.npy
1597028100.54278	inception_v3	/home/Datasets/hmdb_of_frames/	hmdb51	phong	flow	../log_retrain/1596780576.726766/checkpoints/088_checkpoint_flow_split_2.pth.tar	NPYS_fusion/	../datasets/settings_earlystop/	2	/home/helena.maia/Documentos/VR_CNN/ve_pytorch	True	../test/NPYS_fusion/1597028100.54278/hmdb51_flow_inception_v3_s2.npy
1597084759.9124968	inception_v3	/home/Datasets/UCF-101-OF_CPU/	ucf101	bezier	rgb	../log_retrain/1596785459.9646/checkpoints/011_checkpoint_rgb2_split_3.pth.tar	NPYS_fusion/	../datasets/settings_earlystop	3	/home/helena.maia/Documentos/VR_CNN/ve_pytorch	True	../test/NPYS_fusion/1597084759.9124968/ucf101_rgb_inception_v3_s3.npy
1594607610.4437823	inception_v3	/home/Datasets/hmdb_of_frames/	hmdb51	voronoi	rgb	../log_es/1594442688.716026/checkpoints/model_best_rgb2_split_3.pth.tar	NPYS_es	../datasets/settings_earlystop/	3	/home/helena.maia/Documentos/VR_CNN/ve_pytorch	True	../test/NPYS_fusion/1594607610.4437823/hmdb51_rgb_inception_v3_s3.npy
1594615697.353618	inception_v3	/home/Datasets/hmdb_of_frames/	hmdb51	prim	flow	../log_es/1594527126.6691213/checkpoints/model_best_flow_split_3.pth.tar	NPYS_es/	../datasets/settings_earlystop/	3	/home/helena.maia/Documentos/VR_CNN/ve_pytorch	True	../test/NPYS_fusion/1594615697.353618/hmdb51_flow_inception_v3_s3.npy
