timestamp	architecture	batch_size	data_dir	dataset	hostname	model_path	o	split	virtual_env	npy_file
1596995219.5784576	inception_v3	2	/home/Datasets/Colab/LVR/2.preprocessing/version4/inception_v3_hmdb51_VR2_resize_inception/	hmdb51	prim	../log_retrain_lvr/1596957084.1309345/checkpoints/023_checkpoint_rhythm_split_3.pth.tar	NPYS_retrain	3	/home/helena.maia/Documentos/VR_CNN/ve_pytorch	../LVR/3.vr_stream/test/NPYS_retrain/1596995219.5784576/hmdb51_rhythm_inception_v3_s3.npy
1596994846.812109	inception_v3	2	/home/Datasets/Colab/LVR/2.preprocessing/version4/inception_v3_hmdb51_VR2_resize_inception/	hmdb51	prim	../log_retrain_lvr/1596952928.8340595/checkpoints/024_checkpoint_rhythm_split_2.pth.tar	NPYS_retrain	2	/home/helena.maia/Documentos/VR_CNN/ve_pytorch	../LVR/3.vr_stream/test/NPYS_retrain/1596994846.812109/hmdb51_rhythm_inception_v3_s2.npy
1596990497.1168513	inception_v3	2	/home/Datasets/Colab/LVR/2.preprocessing/version3/inception_vr_ucf101_VR2_resize_inception/	ucf101	prim	../log_retrain_lvr/1596929683.6062243/checkpoints/015_checkpoint_rhythm_split_1.pth.tar	NPYS_retrain	1	/home/helena.maia/Documentos/VR_CNN/ve_pytorch	../LVR/3.vr_stream/test/NPYS_retrain/1596990497.1168513/ucf101_rhythm_inception_v3_s1.npy
1596992013.6845613	inception_v3	2	/home/Datasets/Colab/LVR/2.preprocessing/version3/inception_vr_ucf101_VR2_resize_inception/	ucf101	prim	../log_retrain_lvr/1596950533.8078353/checkpoints/015_checkpoint_rhythm_split_3.pth.tar	NPYS_retrain	3	/home/helena.maia/Documentos/VR_CNN/ve_pytorch	../LVR/3.vr_stream/test/NPYS_retrain/1596992013.6845613/ucf101_rhythm_inception_v3_s3.npy
1596994053.0363514	inception_v3	2	/home/Datasets/Colab/LVR/2.preprocessing/version4/inception_v3_hmdb51_VR0_resize_inception/	hmdb51	prim	../log_retrain_lvr/1596950863.7093174/checkpoints/015_checkpoint_rhythm_split_2.pth.tar	NPYS_retrain	2	/home/helena.maia/Documentos/VR_CNN/ve_pytorch	../LVR/3.vr_stream/test/NPYS_retrain/1596994053.0363514/hmdb51_rhythm_inception_v3_s2.npy
1596950106.0869699	inception_v3	2	/home/Datasets/Colab/LVR/2.preprocessing/version4/inception_v3_ucf101_VR0_resize_inception/	ucf101	prim	../log_retrain_lvr/1596934510.6861248/checkpoints/013_checkpoint_rhythm_split_2.pth.tar	NPYS_retrain	2	/home/helena.maia/Documentos/VR_CNN/ve_pytorch	../LVR/3.vr_stream/test/NPYS_retrain/1596950106.0869699/ucf101_rhythm_inception_v3_s2.npy
1596988287.613437	inception_v3	2	/home/Datasets/Colab/LVR/2.preprocessing/version4/inception_v3_ucf101_VR1_resize_inception/	ucf101	prim	../log_retrain_lvr/1596934998.8869538/checkpoints/009_checkpoint_rhythm_split_2.pth.tar	NPYS_retrain	2	/home/helena.maia/Documentos/VR_CNN/ve_pytorch	../LVR/3.vr_stream/test/NPYS_retrain/1596988287.613437/ucf101_rhythm_inception_v3_s2.npy
1596988244.5578396	inception_v3	2	/home/Datasets/Colab/LVR/2.preprocessing/version4/inception_v3_ucf101_VR1_resize_inception/	ucf101	prim	../log_retrain_lvr/1596929353.9117296/checkpoints/008_checkpoint_rhythm_split_1.pth.tar	NPYS_retrain	1	/home/helena.maia/Documentos/VR_CNN/ve_pytorch	../LVR/3.vr_stream/test/NPYS_retrain/1596988244.5578396/ucf101_rhythm_inception_v3_s1.npy
1596995376.088058	inception_v3	2	/home/Datasets/Colab/LVR/2.preprocessing/version4/inception_v3_hmdb51_VR1_resize_inception/	hmdb51	prim	../log_retrain_lvr/1596992865.7289677/checkpoints/011_checkpoint_rhythm_split_2.pth.tar	NPYS_retrain	2	/home/helena.maia/Documentos/VR_CNN/ve_pytorch	../LVR/3.vr_stream/test/NPYS_retrain/1596995376.088058/hmdb51_rhythm_inception_v3_s2.npy
1596994493.7041523	inception_v3	2	/home/Datasets/Colab/LVR/2.preprocessing/version4/inception_v3_hmdb51_VR1_resize_inception/	hmdb51	prim	../log_retrain_lvr/1596989755.4039114/checkpoints/018_checkpoint_rhythm_split_1.pth.tar	NPYS_retrain	1	/home/helena.maia/Documentos/VR_CNN/ve_pytorch	../LVR/3.vr_stream/test/NPYS_retrain/1596994493.7041523/hmdb51_rhythm_inception_v3_s1.npy
