Epoch: [58][50/1194]	Time 2.756 (2.817)	Loss 0.0117 (0.0148)	Prec@1 100.000 (100.000)
Epoch: [58][100/1194]	Time 2.759 (2.788)	Loss 0.0291 (0.0154)	Prec@1 100.000 (99.987)
Epoch: [58][150/1194]	Time 2.757 (2.778)	Loss 0.0129 (0.0142)	Prec@1 100.000 (99.983)
Epoch: [58][200/1194]	Time 2.763 (2.773)	Loss 0.0094 (0.0142)	Prec@1 100.000 (99.987)
Epoch: [58][250/1194]	Time 2.758 (2.770)	Loss 0.0308 (0.0148)	Prec@1 99.500 (99.980)
Epoch: [58][300/1194]	Time 2.758 (2.769)	Loss 0.0108 (0.0157)	Prec@1 100.000 (99.971)
Epoch: [58][350/1194]	Time 2.758 (2.767)	Loss 0.0158 (0.0164)	Prec@1 100.000 (99.968)
Epoch: [58][400/1194]	Time 2.759 (2.766)	Loss 0.0178 (0.0179)	Prec@1 100.000 (99.938)
Epoch: [58][450/1194]	Time 2.757 (2.765)	Loss 0.0172 (0.0182)	Prec@1 100.000 (99.942)
Epoch: [58][500/1194]	Time 2.755 (2.765)	Loss 0.0079 (0.0178)	Prec@1 100.000 (99.940)
Epoch: [58][550/1194]	Time 2.760 (2.764)	Loss 0.0149 (0.0180)	Prec@1 100.000 (99.939)
Epoch: [58][600/1194]	Time 2.756 (2.764)	Loss 0.0130 (0.0178)	Prec@1 100.000 (99.942)
Epoch: [58][650/1194]	Time 2.761 (2.763)	Loss 0.0120 (0.0179)	Prec@1 100.000 (99.937)
Epoch: [58][700/1194]	Time 2.759 (2.763)	Loss 0.0089 (0.0177)	Prec@1 100.000 (99.939)
Epoch: [58][750/1194]	Time 2.760 (2.763)	Loss 0.0117 (0.0175)	Prec@1 100.000 (99.940)
Epoch: [58][800/1194]	Time 2.756 (2.762)	Loss 0.0094 (0.0175)	Prec@1 100.000 (99.942)
Epoch: [58][850/1194]	Time 2.759 (2.762)	Loss 0.0164 (0.0177)	Prec@1 100.000 (99.943)
Epoch: [58][900/1194]	Time 2.759 (2.762)	Loss 0.0120 (0.0177)	Prec@1 100.000 (99.944)
Epoch: [58][950/1194]	Time 2.761 (2.762)	Loss 0.0269 (0.0178)	Prec@1 100.000 (99.945)
Epoch: [58][1000/1194]	Time 2.759 (2.762)	Loss 0.0158 (0.0177)	Prec@1 100.000 (99.946)
Epoch: [58][1050/1194]	Time 2.756 (2.762)	Loss 0.0215 (0.0175)	Prec@1 100.000 (99.946)
Epoch: [58][1100/1194]	Time 2.757 (2.761)	Loss 0.0268 (0.0174)	Prec@1 100.000 (99.948)
Epoch: [58][1150/1194]	Time 2.759 (2.761)	Loss 0.0111 (0.0173)	Prec@1 100.000 (99.950)
